Sl_No,Date,Startup_Name,Industry,Sub_Industry,Investors,Investment_Type,Amount_in_USD,Amount,City
1,2020-01-09,BYJU’S,E-Tech,E-learning,Tiger Global Management,Private Equity Round,"20,00,00,000",200000000,Bengaluru
2,2020-01-13,Shuttl,Transportation,App based shuttle service,Susquehanna Growth Equity,Series C,"80,48,394",8048394,Gurgaon
3,2020-01-09,Mamaearth,E-commerce,Retailer of baby and toddler products,Sequoia Capital India,Series B,"1,83,58,860",18358860,Bengaluru
4,2020-01-02,https://www.wealthbucket.in/,FinTech,Online Investment,Vinod Khatumal,Pre-series A,"30,00,000",3000000,New Delhi
5,2020-01-02,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Sprout Venture Partners,Seed Round,"18,00,000",1800000,Mumbai
6,2020-01-13,Pando,Logistics,"Open-market, freight management platform",Chiratae Ventures,Series A,"90,00,000",9000000,Chennai
7,2020-01-10,Zomato,Hospitality,Online Food Delivery Platform,Ant Financial,Private Equity Round,"15,00,00,000",150000000,Gurgaon
8,2019-12-12,Ecozen,Technology,Agritech,Sathguru Catalyzer Advisors,Series A,"60,00,000",6000000,Pune
9,2019-12-06,CarDekho,E-Commerce,Automobile,Ping An Global Voyager Fund,Series D,"7,00,00,000",70000000,Gurgaon
10,2019-12-03,Dhruva Space,Aerospace,Satellite Communication,"Mumbai Angels, Ravikanth Reddy",Seed,"5,00,00,000",50000000,Bengaluru
11,2019-12-13,Rivigo,Technology,Logistics Services and Solutions,"SAIF Partners, Spring Canter Investment Ltd.",Series F,"2,00,00,000",20000000,Gurgaon
12,2019-12-17,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,"1,20,00,000",12000000,Bengaluru
13,2019-12-16,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Vertex Growth Fund,Series E,"3,00,00,000",30000000,Bengaluru
15,2019-12-14,Trell,Video,Experience Discovery Platform,Ruizheng Investment,Seed Round,"20,00,000",2000000,Bengaluru
16,2019-12-11,Rein Games,Gaming,Real money based gaming startup,Manipal Education and Medical Group (MEMG),Seed Round,"5,00,00,000",50000000,Noida
17,2019-12-20,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,SoftBank Vision Fund,Series G,"23,10,00,000",231000000,Faridabad
18,2019-11-13,Freshworks,Software,Business and customer engagement tools,"Sequoia, CapitalG, Accel",Series H,"15,00,00,000",150000000,San Francisco
19,2019-11-14,Misters,Health and wellness,Men's Health and Wellness brand,"Sauce.vc, Rainforest Ventures",Series B,"4,86,000",486000,Gurgaon
20,2019-11-13,Sunstone Eduversity Pvt. Ltd,Education,Elearning,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,"15,00,000",1500000,Gurgaon
